id,product_id,user_id,profile_name,helpfulness_numerator,helpfulness_denominator,score,time,summary,text,helpfulness_percentage
268065,B00032G1S0,A37GS73Z3Q6TMY,biggestbamboo,466,488,5,1155168000,Serious Problem,This product copiously leaks out of my nose whenever I read these reviews.,0.9549180327868853
268064,B00032G1S0,A2AB39AEECUTEC,troublemaker,274,284,3,1158624000,Okay product but you have to buy a glass to use it.,Don't get fooled by the easy-to-use look of this product.,0.9647887323943662
268063,B00032G1S0,A1YA0OH6NULV2C,Rubicon,193,197,5,1204934400,Hidden message?,"""Tuscan Whole Milk"" can be re-arranged to say ""I'll know mustache"".  Coincidence?  I think not.",0.9796954314720813
207719,B00012182G,A21V2QODUYH7Q8,Ty,99,115,5,1251072000,Very Fresh!,"I was sent a live rabbit, a hammer and a skinning knife.  It doesn't get fresher than this, folks.",0.8608695652173913
5235,B0012YEKCW,A23PF0J8IKZHKI,"rustin g olson ""Rusty""",70,74,5,1229990400,Good Stuff,"This is good stuff.  However, I planted it, and no cats grew up.  Just grass.",0.9459459459459459
207761,B00012182G,AYKYUOQ79TKTV,A. Spivak,68,92,5,1167177600,He's a little shy at first.,He's a little shy at first but quickly warms up (on microwave low).,0.7391304347826086
389761,B0008IT4OM,A27NMQL6AD7D13,Allison,58,62,4,1166054400,"good, but get them cheaper elsewhere","Same ""truffles"" that Trader Joe's and Whole Foods sell for 3-6.",0.9354838709677419
333045,B000MYW2ZA,AX30NJK1ZJW75,M. Goldstein,58,81,5,1296345600,EGCG content,"For those interested, the Supplement Facts on the bottle claims 326.25 mg EGCG yield per capsule. Good enough for me.",0.7160493827160493
274424,B001R1LRPS,A2Z6Z7Q7519QCK,Michael S Moore,56,81,1,1247788800,Does not work,I bought one of these to give to my dying grandfather. He did not recover.,0.691358024691358
168903,B0016BAB42,AT32WVXS50LAN,Jean S. Watt,52,71,1,1238630400,Bummer,This product was supposed to increase energy with the possible side effect of weight loss.  Neither happened.,0.7323943661971831
137697,B000CQE3HS,A1X93ES4DITTWK,Fish Cheeks,49,56,5,1150675200,Short Slim Jims,I've noticed that the shorter Slim Jims taste different and better than the longer Slim Jims. I prefer these.,0.875
66663,B000LR2QW2,A1HPTOV8GP10FI,Dr. Anne Lair,48,53,5,1175558400,foie gras,Excellent product that I have bought several times already. Nice alternative to French foie gras!,0.9056603773584906
11804,B004P4TL8E,A2LSBXARAF7OOX,W. Bookhultz,47,51,4,1308614400,Nice Design but beware of clearance space,  Length:: 0:51 Mins   under-cabinet clearance when Keurig  is sitting on top of pod drawer,0.9215686274509803
529836,B00028HN5A,AJXF6M84J45SD,Timothy W. Larson,46,49,5,1180310400,Primo Catnip,This is primo cat weed. Cats that can generally take or leave catnip can't resist the stuff.,0.9387755102040817
321616,B001GQ3E3M,A3NID9D9WMIV01,"Louie Arrighi ""Lou da Joo""",45,47,5,1278374400,Video review for Dark Chocolate Dreams,  Length:: 2:01 Mins   Peanut butter plus Nutella is the best way to describe this product.,0.9574468085106383
168900,B0016BAB42,A16NBAJPDXDG1G,John M. Smith,44,56,2,1237507200,Samvazon Acau powerscop,Powder is very chunky! I haven't lost any weight on it either........ Price + Shipping= not worth it :{,0.7857142857142857
100756,B000JVGNP6,A3SHGKVVNTWRCW,C. A. Unger,40,43,1,1200268800,retail plus,you can buy this at Trader Joes for 1.00 a bottle; this joker is asking 2.50 per bottle.,0.9302325581395349
82137,B000ZTG4UG,A3515BR4JB20V3,"Edith Roghi ""Edie Roghi""",35,37,3,1243641600,Kefir Grains,First batch arrived flat and dead. Could not revive.   Second batch revived OK.,0.9459459459459459
355191,B001H3YKO6,AFVC856779WHV,"Craig ""Craig""",35,42,3,1227916800,Easy Bake Oven Super Pack 12 Mixes,"   Why is Amazon's price so high, Toy R Us has this same item for 11.99.",0.8333333333333334
266639,B00408XID4,A3W1Q3S9SAMK3X,TW,32,32,5,1295308800,Tastes Like Real Eggs,This is the only dried egg I've tried that actually tastes like real eggs.  It scrambles up very well.,1.0
118063,B0009TN7FC,A2F9HKJ1KK84AL,M. Murray,32,37,3,1238803200,Artificial Flavors??,Disappointed that the product did not disclose artificial flavors..not so good coming from an all natural company.,0.8648648648648649
369738,B000EH0RTI,A3NK0S5HYQAQC7,"R. McSwain ""BirdDog""",31,34,5,1147910400,RiceNut,"If you are used to ""Uncle Ben's"", this stuff will make you slap your Daddy.",0.9117647058823529
320848,B0006ZN538,A32UX3Q5F8X6X8,Richard W. Shide,31,43,1,1211241600,overpriced,why pay 36 here when you can get the same thing directly at the Honeyville site for 28?,0.7209302325581395
111374,B0006ZN52E,AFUDFZJGX7X8E,Pablo,30,32,5,1221868800,Perfect for seitan,I buy this to make huge batches of seitan. Freeze it down and cuts back on weekly cooking time drastically.,0.9375
406159,B0032GMRBO,AHCWH5M8LIPFW,Tim,30,33,5,1275350400,Delicious,These things are so delicious that I just wrote a review of a granola bar.,0.9090909090909091
380359,B00112CND8,A1GW5G4LBCYAAU,"Tavi ""Tavi""",29,29,5,1202688000,Great Product,"Purchased this and use it cup for cup when baking.  It has the xanathum gum in it, works great!",1.0
7403,B0002Q1X6C,A25AHLQFEMJAAF,Robert G. Jacob,27,33,5,1108080000,Customer service by J R Mushrooms,"First package was lost in the mail, but JR shipped a backup at no charge with 24 hour shipment!!!!",0.8181818181818182
212216,B0036Q6DSS,A23DM7YB07HSJB,Judith,25,25,5,1278806400,Overpriced,This is a good product but way overpriced here. Just got the same thing for 9.00 at costco.,1.0
18027,B008ZRKZSM,A84B1KO7074HC,"Matthew Barker ""Just a guy who likes to read....",25,26,5,1296000000,Overpriced on Amazon,Strange pricing on Amazon when you can get 4 for 15.96 at the company's site that makes this (Bell Plantation).,0.9615384615384616
259375,B000H7LVKY,A28F3B4E1PIH0M,91011,25,26,3,1207353600,Good but...,"If you're looking for sweet, candy-like dried cherries you'll like these.  If you want tart, dried cherries look elsewhere.",0.9615384615384616
313272,B003WAX3H2,A75STPQTV3R36,"K. Seprish ""In2gravity""",25,28,2,1274486400,Overpriced,Wayyyyy overpriced! K cups should average you around .50 cents a cup ! ! !,0.8928571428571429
437432,B001EO5RLI,A3LTQ0G6V6ULH0,Shalese Huang,25,31,5,1176595200,Trader Joe's is Cheaper,"Great tasting cereal, and at Trader Joe's it is only 2.29box.",0.8064516129032258
4279,B004391DK0,AA5HS6LQ8XC6G,"Fantasticalice Alice ""Phat G-ma""",25,39,1,1287360000,"Sugar,sugar,sugar","Second ingredient is SUGAR! Need I say more? Make your own bisquit mix, it's super easy!",0.6410256410256411
387187,B000UXVIYE,AULM1LWG7C07A,"Classic Country Fan ""Steve""",24,25,1,1241308800,Contains Sugar,This product is not pure coconut water  pulp. Contains Sugar. Do not recommend.,0.96
320841,B0006ZN538,A23HZ27L3MYUY8,SDK,23,26,4,1224633600,"Product is great, but don't buy it here",I've used this flour extensively for recipes over at elanaspantry.com.  Buy it here: ,0.8846153846153846
16127,B000II27QE,A2XG9ICLA3M4X,Brad Ramirez,23,76,1,1248134400,Ripoff!,It didn't remove the spots... Now what am I going to do with all of the sponges I bought?,0.3026315789473684
396542,B0010EEWP4,A24MGA8P8C8W44,RighteousHeart,22,23,5,1289347200,Oil Pulling,"I use this oil for oiling pulling. It helps whiten teeth, reduce tooth sensitivity, and strengthen gums.",0.9565217391304348
464079,B000MMO8W2,A1I985Z8CT365P,Richard G. Hills,22,24,5,1174608000,genco extra virgin olive oil,very high quality - does not congeal in refrigerator.  great price,0.9166666666666666
524642,B0000SWYS8,ANHHANGNN0UTB,Wendy in Rochester NY,22,27,2,1140998400,Overpriced?,"I just purchased this product from a high-end, specialty gift shop for 6.00.  It was the exact same item.",0.8148148148148148
239233,B005NYXE8S,AZEZP7KNA0BWG,Joyce L. Reedy,21,28,2,1232323200,too expensive,"I thought this was a great idea, but after recieving it, with freight it came to 51.00",0.75
402809,B003MSS1X0,A15MGYDDG3F8MG,Happy customer,20,20,5,1306368000,"Wife loved it, what more to say","Wife said it was full of candy, cookies and was nicely packaged. Would definitely recommend this product as a gift.",1.0
272511,B007OXJL0G,A85OXVT5CUMAQ,Heather,20,21,5,1277596800,Yum!,This is by far my favorite. It tastes like Starbuck's Caramel Macchiato. Can't get enough!!,0.9523809523809523
25872,B000BGZNXW,A186R37OQQ8TP1,Inglip,20,22,5,1207526400,Stupidly priced,These are only 2.95 on the monin site.  I have no idea why they are so expensive on amazon.,0.9090909090909091
483413,B0006Z7NOK,A3993VKWTTRBPD,hlmaz,20,23,5,1245024000,"Great Product, Crazy Price",Braggs is the best but the price here is ridiculous (due to shipping). Check your local health food store.,0.8695652173913043
49918,B00430B73W,A5K39PLDLEQ0T,"G. Kalra ""Gee""",20,24,5,1150675200,nutrients information,All the products in Grocery section should have the link to their nutrients information including calorie counts.,0.8333333333333334
243545,B001CUGD9Y,AGI9YB61AQ7U1,Jonathan Shepard,20,34,1,1257465600,You can get this at Wal-Mart for 6 dollars.,Don't waste your money.  Go to Wal-Mart.  Get twice as many for the same price.,0.5882352941176471
462090,B000ELWG7A,A1WD6EUMO1DDV7,beatlefan,19,19,1,1284940800,From China,"These are not domestic nuts, they are from China and often the packets are past expiration date.",1.0
345684,B000ED9L9E,A31GW4ZYLYDQAI,"Carol Vaccaro ""Momvacc""",19,21,5,1163030400,Bob's Red Mill Organic Oat Bran Cereal,Recommened by my doctor to lower my cholesterol. It tastes good and it works,0.9047619047619048
239840,B000EF3E4A,AMAL4SVU6V7V4,"P. Julio ""LoveBeingMom""",19,22,5,1233100800,THE BEST SARDINES AROUND!  BUT CHEAPER AT WALMART,THESE ARE THE BEST AS OTHER REVIEWS INDICATE.  BUT YOU CAN BUY THESE AT WALMART FOR 1.63 EACH!,0.8636363636363636
424993,B0001TNCK0,A3QK7NDLR2VVF0,B. Shabo,19,23,5,1267920000,GOOD FOR DIGESTION & METABOLISM OF CARBS,"This is a good supplement for digestion and metabolism of carbsNow Foods - Apple Cider Vinegar, 450 mg, 180 capsules",0.8260869565217391
271568,B000F9J43K,A22XI6PMIP99UF,Xi Jin,18,21,1,1268265600,Junk,"Low quality. Self Hand packed. No Producer, No ""Best Before"" Date, No Nutrition Fact, INGREDIENTS Contains ""SULPHITES""",0.8571428571428571
387476,B002C6KI7U,A27WUJ3D5KCA8G,El_tAkErO,18,28,1,1307145600,Disappointed,  Length:: 0:53 Mins   I want Bonzai Boy's return my money or send a natural bonzai tree,0.6428571428571429
207800,B00012182G,AP2W52QHKXA2J,"M. MAYER ""M MAYER""",18,30,4,1275782400,IA! IA! CTHULHU FHTAGN!,THIS SERVED AS AN ADEQUATE SACRIFICE TO HE WHO IS ASLEEP AND DREAMING IA! IA! IA!,0.6
176665,B000MS3YI0,A2SIXFF0M93G27,"Joe Kay ""exapno""",17,17,5,1202947200,espresso supremo,This powder is great for adding a mocha flavor to baked goods. It is easy to work with too.,1.0
61819,B000BLNU6E,A11U9NIKA57TU8,"J.J. Massa ""J.J. Massa""",17,19,5,1173312000,Great gift,I got this for a friend. She loved it. It arrived quickly and in good shape. Very good purchase.,0.8947368421052632
184996,B0005ZIC1O,A7MCF6IGHRIAV,Broseph,17,19,5,1136764800,In response to Rob Ralston,"Yeah, but they taste really good.",0.8947368421052632
238008,B00018CWNY,A14FTAQ0H8YNED,"Harriet Moulton ""Tulip lover""",17,19,5,1238112000,Gluten-free flous,Made cookies for my neighbor who cannot eat gluten.  She raved about them.  Great product.  Thank you.,0.8947368421052632
238504,B000EONEU0,A1SDHO3XCAR6B4,"Dew ""DEW""",17,19,5,1159488000,Perfect Yogurt Starter,This starter is excellent!  I used it to make soy yogurt with no problems.,0.8947368421052632
17402,B00009OLE2,A39OJCY7G1WN2K,D. Hrzic,17,21,1,1324684800,Not a good price,Got this same 4.4 lb bag at PetSmart for 6. Not a good price Amazon! Our dog loves it though.,0.8095238095238095
277770,B002OMV09W,A2ERWJRPRDGMF3,ARTHUR LANDAU D,17,24,1,1277683200,Very Unhappy,"Nothing Grew, I have a can full of wet vermiculite. No seeds no plant. Nothing",0.7083333333333334
320630,B00013C2WU,A1Z3498SJLBC3H,"Joseph R. Spinozzi ""Benz3000""",17,32,5,1175990400,Christmas Basket,nice gift and shipped on time so you saved the day  thanks,0.53125
16126,B000II27QE,AFV9WAFS85UB1,"BargainGal ""BargainGal""",17,49,4,1196035200,Nothing that a dose of penicillin can't cure!!!,Are they kidding? Who would name a product this? Really!!! Love the part about preventing it from spurting...LOL!,0.3469387755102041
559442,B0077MS56U,A2P6731AC8F57P,William,16,16,5,1335571200,THESE ARE AMAZING,"Honestly, you shouldn't buy these. They are like having sex on ecstasy, the regular oreos just won't cut it anymore.",1.0
180098,B0042TVKZY,AYYVWEFZDXF2V,TMSjokeman,16,17,5,1297036800,Yum,What can I say? These things taste amazing. I want them to have a million-piece set.  Yum,0.9411764705882353
252833,B000BY50BY,A2O6PBEYTSVQZM,"T. Enlow ""Pig's mom""",16,17,4,1154390400,Dog treats,They are good.  I wish they came in smaller pieces for the smaller dogs.,0.9411764705882353
556071,B000V6FTZE,A3WJIRDBF4E6M,"Jeffrey J. West ""Jeff""",16,17,1,1218499200,1.55 @ Walmart for 18.5 oz,"Seriously. 10.5 oz cans?? 1.86  a peice? .18 an ounce, man.  ripoff.",0.9411764705882353
39993,B00017LEY8,A2FUUYKPZ3WYRU,M. Pesesky,16,18,3,1196985600,Not good with an air popper.,"This popcorn is not good with an air popper, because the kernels are too light.",0.8888888888888888
